mediaID	occid	url	originalUrl	thumbnailUrl
66339	30	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10094_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10094_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10094_C1_tn.jpg
105071	30	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-010/DBG-F-010094_S00.JPG	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-010/DBG-F-010094_S00_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-010/DBG-F-010094_S00_tn.jpg
5660473	30	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-010/DBG-F-010094.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-010/DBG-F-010094_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-010/DBG-F-010094_tn.jpg
6594685	32	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010100.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010100_lg.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010100_tn.jpg
6594686	34	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010108.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010108_lg.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010108_tn.jpg
89585	35	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10110_C00.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10110_C00_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10110_C00_tn.jpg
6594687	35	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010110.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010110_lg.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010110_tn.jpg
6594688	36	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010113.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010113_lg.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010113_tn.jpg
66342	37	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1012_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1012_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1012_C1_tn.jpg
66343	37	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1012_C2.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1012_C2_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1012_C2_tn.jpg
4644938	37	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-001/DBG-F-001012_S00.JPG	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-001/DBG-F-001012_S00_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-001/DBG-F-001012_S00_tn.jpg
89586	38	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10121_C00.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10121_C00_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10121_C00_tn.jpg
